Time 0200,Time 0500,Time 0800,Time 1100,Time 1400,Time 1700,Time 2000,Time 2300
26.5,25.1,25.8,26.1,27.8,27.1,28.4,27.4
26.5,25.2,25.8,26.2,27.8,27.2,28.5,27.4
26.3,24.9,25.6,25.9,27.6,26.9,28.2,27.2
26.5,25.1,25.8,26.1,27.8,27.1,28.5,27.4
26.8,25.4,26.1,26.3,28.2,27.4,28.8,27.7
26.6,25.3,25.9,26.2,28,27.2,28.6,27.5
26.9,25.5,26.1,26.4,28.3,27.5,28.8,27.8
26.6,25.3,25.9,26,28.2,27.3,28.6,27.6
26.5,25.1,25.8,26,27.9,27.1,28.5,27.4
26.7,25.3,26,26.3,28,27.3,28.6,27.6
26.9,25.5,26.2,26.6,28.1,27.5,28.9,27.8
26.8,25.4,26,26.4,28,27.4,28.7,27.7
26.6,25.3,25.9,26.2,27.9,27.3,28.6,27.5
26.8,25.5,26,26.5,28,27.5,28.8,27.7
26.8,25.4,26,26.5,28,27.4,28.7,27.7
26.6,25.2,25.8,26.2,27.8,27.2,28.5,27.5
26.7,25.3,25.9,26.2,28,27.2,28.6,27.5
26.7,25.3,26,26.3,28,27.3,28.7,27.6
26.8,25.4,26.1,26.3,28.2,27.4,28.7,27.7
26.9,25.5,26.1,26.3,28.3,27.5,28.8,27.8
26.7,25.3,26,26.2,28.1,27.3,28.7,27.6
26.8,25.4,26.1,26.4,28.1,27.4,28.8,27.7
27,25.5,26.3,26.6,28.3,27.5,28.9,27.9
26.9,25.5,26.1,26.5,28.2,27.5,28.8,27.8
26.4,25,25.6,25.9,27.7,27,28.3,27.3
26.4,25,25.7,26.1,27.6,27,28.4,27.3
26.5,25.2,25.8,26.2,27.7,27.2,28.5,27.4
26.5,25.1,25.8,26.1,27.8,27.1,28.5,27.4
26.8,25.4,26,26.3,28.1,27.4,28.7,27.6
26.8,25.4,26,26.4,28.1,27.4,28.7,27.7
27.2,25.8,26.4,26.6,28.5,27.8,29.1,28
26.6,25.2,25.8,26,28,27.2,28.5,27.5
26.8,25.4,26.1,26.3,28.2,27.4,28.8,27.7
26.7,25.4,26,26.4,28,27.4,28.7,27.7
26.9,25.5,26.1,26.6,28.1,27.5,28.8,27.8
26.9,25.6,26.1,26.5,28.2,27.6,28.8,27.8
26.5,25.2,25.7,26.1,27.8,27.2,28.5,27.4
26.5,25.1,25.6,26.1,27.6,27.1,28.4,27.3
26.7,25.4,25.9,26.4,28,27.4,28.7,27.6
26.7,25.4,25.9,26.3,27.9,27.4,28.6,27.6
26.6,25.3,25.8,26.2,28,27.3,28.6,27.5
26.7,25.4,25.9,26.3,28,27.4,28.6,27.6
26.9,25.6,26.1,26.4,28.3,27.6,28.9,27.8
26.9,25.6,26.1,26.3,28.4,27.6,28.8,27.8
26.6,25.3,25.8,26.1,28,27.3,28.6,27.5
26.6,25.3,25.9,26.3,27.9,27.3,28.6,27.6
26.9,25.6,26.1,26.6,28.1,27.6,28.8,27.8
26.6,25.3,25.8,26.2,27.9,27.3,28.6,27.5
26.6,25.4,25.8,26.3,27.9,27.4,28.6,27.6
26.7,25.4,25.8,26.4,27.8,27.4,28.6,27.6
26.5,25.2,25.7,26.3,27.7,27.2,28.5,27.4
26.6,25.3,25.8,26.2,27.8,27.3,28.5,27.5
26.6,25.3,25.8,26.1,27.9,27.2,28.5,27.5
26.8,25.5,25.9,26.4,28,27.5,28.7,27.7
26.5,25.2,25.7,26.1,27.9,27.2,28.5,27.4
26.5,25.3,25.7,26,28,27.2,28.5,27.4
26.9,25.6,26.1,26.4,28.3,27.6,28.9,27.8
26.7,25.4,25.8,26.3,27.9,27.4,28.6,27.6
26.7,25.4,25.8,26.4,27.9,27.4,28.6,27.6
26.4,25.2,25.6,26,27.7,27.2,28.4,27.3
26.7,25.4,25.8,26.3,28,27.4,28.6,27.6
26.8,25.5,25.9,26.5,27.9,27.5,28.7,27.7
26.6,25.4,25.8,26.4,27.8,27.4,28.6,27.5
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.5,25.3,25.7,26.2,27.8,27.3,28.5,27.4
26.7,25.4,25.9,26.3,28,27.4,28.7,27.6
26.6,25.3,25.7,26.1,27.9,27.3,28.5,27.5
26.9,25.6,26,26.3,28.4,27.6,28.8,27.8
26.7,25.5,25.9,26.2,28.1,27.4,28.7,27.6
26.6,25.4,25.8,26.2,27.9,27.3,28.6,27.5
26.8,25.6,26,26.5,28.1,27.6,28.8,27.7
26.8,25.6,26,26.4,28.1,27.6,28.8,27.8
26.9,25.6,26,26.5,28.2,27.6,28.8,27.8
26.7,25.4,25.8,26.4,27.8,27.4,28.6,27.6
26.7,25.4,25.9,26.5,27.9,27.4,28.7,27.6
26.7,25.4,25.9,26.4,27.9,27.4,28.7,27.6
26.8,25.6,26,26.4,28.1,27.5,28.8,27.7
26.6,25.3,25.8,26.2,27.9,27.3,28.6,27.5
26.8,25.5,26,26.3,28.2,27.5,28.7,27.7
26.8,25.6,26,26.2,28.3,27.5,28.8,27.7
26.6,25.3,25.7,26.1,28,27.3,28.5,27.5
26.6,25.4,25.8,26.3,27.9,27.4,28.6,27.5
26.7,25.4,25.9,26.4,27.9,27.4,28.6,27.6
26.6,25.4,25.8,26.2,27.9,27.4,28.6,27.6
26.6,25.3,25.8,26.2,27.9,27.3,28.6,27.5
26.6,25.3,25.7,26.3,27.7,27.3,28.5,27.5
26.6,25.3,25.7,26.3,27.8,27.3,28.5,27.5
26.5,25.2,25.6,26.1,27.7,27.2,28.4,27.3
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.7,25.4,25.8,26.3,27.9,27.4,28.6,27.5
26.4,25.1,25.6,26,27.8,27.1,28.4,27.3
26.6,25.3,25.7,26,28,27.3,28.5,27.5
26.7,25.4,25.8,26.2,28,27.4,28.6,27.6
26.5,25.2,25.7,26.2,27.7,27.2,28.5,27.4
26.4,25.1,25.6,26.1,27.7,27.1,28.4,27.3
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.3,25,25.5,25.9,27.6,27,28.2,27.2
26.5,25.2,25.6,26.2,27.6,27.2,28.4,27.4
26.6,25.3,25.7,26.3,27.7,27.3,28.5,27.5
26.3,25,25.5,26,27.5,27,28.3,27.2
26.1,24.8,25.3,25.8,27.4,26.8,28.1,27
26.4,25.1,25.5,25.9,27.7,27,28.3,27.2
26.6,25.3,25.7,26.1,27.9,27.3,28.5,27.5
26.9,25.6,26,26.3,28.4,27.6,28.8,27.8
26.9,25.6,26.1,26.4,28.2,27.6,28.8,27.8
26.6,25.3,25.8,26.2,27.9,27.2,28.5,27.5
26.6,25.3,25.8,26.3,27.9,27.3,28.6,27.5
26.6,25.3,25.8,26.2,27.9,27.3,28.6,27.5
26.7,25.4,25.8,26.3,27.9,27.4,28.6,27.6
26.7,25.4,25.9,26.4,27.9,27.4,28.6,27.6
26.6,25.3,25.8,26.3,27.8,27.3,28.5,27.5
26.7,25.3,25.9,26.3,27.9,27.3,28.6,27.5
26.6,25.3,25.8,26.2,27.9,27.3,28.5,27.5
26.7,25.4,25.9,26.3,28,27.4,28.7,27.6
26.7,25.4,25.9,26.2,28,27.4,28.6,27.6
26.8,25.5,25.9,26.2,28.2,27.5,28.7,27.7
26.4,25.1,25.6,26,27.8,27.1,28.4,27.3
26.8,25.5,26,26.4,28,27.5,28.7,27.7
26.8,25.5,26,26.4,28,27.5,28.7,27.7
27,25.7,26.3,26.7,28.3,27.7,29,28
26.9,25.6,26.1,26.5,28.2,27.6,28.8,27.8
26.9,25.6,26.1,26.6,28.1,27.6,28.8,27.8
26.7,25.4,25.9,26.4,27.8,27.4,28.6,27.6
26.7,25.4,25.9,26.3,27.9,27.4,28.6,27.6
26.6,25.3,25.8,26.2,27.9,27.3,28.6,27.5
26.7,25.3,25.9,26.2,28,27.3,28.6,27.5
26.8,25.4,25.9,26.3,28.1,27.4,28.7,27.7
26.7,25.4,25.9,26.1,28.2,27.4,28.7,27.6
26.8,25.5,26,26.3,28.2,27.5,28.8,27.7
26.7,25.4,25.9,26.3,28,27.4,28.6,27.6
26.7,25.4,25.9,26.4,28,27.4,28.7,27.6
26.5,25.2,25.8,26.1,27.9,27.2,28.5,27.5
26.8,25.5,26,26.4,28,27.5,28.7,27.7
26.5,25.2,25.7,26.2,27.7,27.2,28.5,27.4
26.3,25,25.5,26,27.5,27,28.3,27.2
26.7,25.3,26,26.4,28,27.3,28.7,27.6
26.2,24.8,25.4,25.7,27.5,26.8,28.1,27.1
26.6,25.3,25.8,26.2,28,27.3,28.6,27.5
26.3,25,25.5,25.8,27.7,27,28.2,27.2
26.7,25.4,25.9,26.1,28.2,27.4,28.6,27.6
26.6,25.3,25.9,26.1,28.1,27.3,28.6,27.6
26.5,25.2,25.7,26.1,27.7,27.2,28.4,27.4
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.7,25.4,25.9,26.3,28,27.4,28.6,27.6
26.6,25.2,25.8,26.1,27.9,27.2,28.5,27.5
26.7,25.3,25.9,26.4,27.8,27.3,28.6,27.6
26.9,25.5,26.1,26.5,28.1,27.5,28.8,27.8
26.9,25.6,26.1,26.6,28.2,27.6,28.9,27.8
26.9,25.6,26.1,26.5,28.2,27.6,28.9,27.8
26.8,25.5,26,26.4,28.2,27.5,28.8,27.7
26.7,25.4,25.9,26.2,28.1,27.4,28.6,27.6
26.3,25,25.5,25.6,27.8,27,28.2,27.2
26.5,25.2,25.7,26,27.9,27.2,28.5,27.4
26.6,25.3,25.8,26.2,27.9,27.3,28.6,27.5
26.6,25.2,25.8,26.2,27.8,27.2,28.5,27.5
26.6,25.3,25.9,26.2,28,27.3,28.6,27.5
26.7,25.4,26,26.3,28,27.4,28.7,27.6
26.9,25.5,26.1,26.6,28.1,27.5,28.8,27.8
26.7,25.4,25.9,26.4,27.9,27.4,28.7,27.6
26.8,25.5,26.1,26.4,28.1,27.5,28.8,27.7
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.6,25.2,25.8,26.1,27.9,27.2,28.5,27.4
26.7,25.4,25.9,26.3,28.1,27.4,28.7,27.6
26.7,25.3,25.9,26,28.2,27.3,28.6,27.6
26.6,25.2,25.8,26,28,27.2,28.5,27.5
26.8,25.4,26,26.4,28.1,27.4,28.7,27.7
26.8,25.4,26,26.4,28.1,27.4,28.7,27.7
26.6,25.2,25.8,26.1,28,27.2,28.5,27.5
26.3,24.9,25.5,25.9,27.6,26.9,28.2,27.2
26.5,25.1,25.7,26.2,27.7,27.1,28.4,27.4
26.6,25.2,25.8,26.3,27.8,27.2,28.5,27.5
26.5,25.2,25.8,26.2,27.8,27.1,28.5,27.4
26.7,25.3,25.9,26.3,28,27.3,28.6,27.6
26.5,25.2,25.7,26.1,27.8,27.2,28.5,27.4
26.6,25.3,25.8,26.2,28,27.3,28.6,27.5
26.4,25.1,25.6,25.8,27.9,27.1,28.3,27.3
26.6,25.2,25.8,26.1,28,27.2,28.5,27.5
26.6,25.2,25.8,26.2,27.8,27.2,28.5,27.5
26.9,25.6,26.2,26.6,28.2,27.6,28.9,27.8
26.8,25.5,26,26.4,28.2,27.5,28.8,27.7
26.7,25.4,26,26.3,28.1,27.4,28.7,27.6
26.8,25.5,26,26.5,28,27.5,28.7,27.7
26.9,25.5,26.2,26.6,28.1,27.5,28.8,27.8
27,25.6,26.2,26.6,28.2,27.6,28.9,27.8
26.6,25.3,25.8,26.2,27.9,27.2,28.5,27.5
26.6,25.3,25.8,26.1,27.9,27.2,28.5,27.5
26.7,25.4,26,26.2,28.1,27.4,28.7,27.6
26.9,25.5,26.1,26.3,28.4,27.5,28.8,27.8
26.6,25.2,25.8,26.1,28,27.2,28.5,27.5
26.8,25.4,26,26.4,28,27.4,28.7,27.7
26.7,25.3,25.9,26.3,27.9,27.3,28.6,27.6
26.8,25.5,26,26.4,28.1,27.5,28.7,27.7
26.8,25.5,26,26.4,28.1,27.5,28.8,27.7
26.8,25.4,26,26.4,28,27.4,28.7,27.6
26.5,25.1,25.8,26.2,27.7,27.1,28.4,27.4
26.8,25.5,26,26.5,28.1,27.5,28.8,27.7
26.8,25.5,26,26.3,28.1,27.4,28.7,27.7
26.8,25.5,26,26.4,28.1,27.5,28.8,27.7
27,25.7,26.2,26.6,28.3,27.7,28.9,27.9
26.8,25.4,26,26.1,28.3,27.4,28.7,27.6
26.7,25.3,25.9,26.1,28.1,27.3,28.6,27.5
26.8,25.5,26.1,26.5,28.1,27.5,28.8,27.7
26.8,25.4,26,26.4,28,27.4,28.7,27.7
26.6,25.2,25.8,26.1,27.9,27.2,28.5,27.5
26.8,25.4,26,26.3,28.1,27.4,28.7,27.7
26.6,25.3,25.8,26.3,27.8,27.3,28.6,27.5
26.8,25.5,26,26.5,28,27.5,28.7,27.7
26.9,25.6,26.1,26.6,28.2,27.6,28.9,27.8
26.8,25.5,26,26.3,28.1,27.5,28.7,27.7
26.7,25.4,25.9,26.3,28,27.4,28.7,27.6
26.7,25.4,25.9,26.3,28.1,27.4,28.7,27.6
26.6,25.3,25.8,26,28.2,27.3,28.6,27.5
26.9,25.6,26.1,26.4,28.3,27.6,28.8,27.8
26.9,25.6,26,26.5,28.1,27.6,28.8,27.7
26.7,25.4,25.9,26.4,28,27.4,28.7,27.6
26.6,25.3,25.8,26.1,27.9,27.3,28.5,27.5
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.7,25.4,25.9,26.4,27.9,27.4,28.7,27.6
27,25.7,26.2,26.7,28.2,27.7,28.9,27.9
26.6,25.3,25.8,26.2,27.8,27.3,28.5,27.5
26.7,25.4,25.9,26.3,28,27.4,28.7,27.6
26.4,25.1,25.5,25.9,27.7,27.1,28.3,27.2
26.6,25.3,25.8,26.2,28,27.3,28.6,27.5
26.8,25.5,25.9,26.2,28.2,27.5,28.7,27.7
26.9,25.6,26,26.4,28.2,27.6,28.8,27.8
26.9,25.6,26,26.5,28.1,27.6,28.8,27.8
26.8,25.5,26,26.5,28,27.5,28.8,27.7
26.7,25.4,25.9,26.3,28,27.4,28.6,27.6
26.7,25.4,25.9,26.3,28,27.4,28.6,27.6
26.9,25.5,26.1,26.6,28,27.5,28.8,27.8
26.6,25.3,25.7,26.3,27.7,27.3,28.5,27.5
26.8,25.5,26,26.5,28,27.5,28.7,27.7
26.5,25.2,25.7,26.1,27.9,27.2,28.5,27.4
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.4,25.1,25.6,26,27.8,27.1,28.4,27.3
26.7,25.4,25.8,26.1,28.2,27.4,28.6,27.6
26.8,25.5,26,26.3,28.2,27.5,28.7,27.7
26.7,25.4,25.9,26.4,27.9,27.4,28.6,27.6
26.7,25.4,25.9,26.4,27.9,27.4,28.7,27.6
26.7,25.4,25.8,26.3,27.9,27.4,28.6,27.6
26.8,25.5,26,26.4,28.1,27.5,28.7,27.7
26.7,25.4,25.9,26.4,27.9,27.4,28.6,27.6
26.7,25.4,25.8,26.4,27.8,27.4,28.6,27.6
26.8,25.5,26,26.5,28,27.5,28.8,27.7
26.6,25.3,25.8,26.2,27.9,27.3,28.5,27.5
26.6,25.3,25.7,26.2,27.8,27.3,28.5,27.4
26.9,25.6,26.1,26.5,28.2,27.6,28.9,27.8
26.7,25.4,25.9,26.1,28.2,27.4,28.7,27.6
26.7,25.4,25.8,26.2,28,27.4,28.6,27.6
26.6,25.3,25.8,26.2,27.8,27.3,28.5,27.5
26.7,25.4,25.9,26.4,27.9,27.4,28.7,27.6
26.7,25.4,25.8,26.3,28,27.4,28.6,27.6
26.8,25.5,26,26.4,28,27.5,28.7,27.7
26.9,25.6,26.1,26.6,28.1,27.6,28.9,27.8
27,25.7,26.2,26.7,28.1,27.7,28.9,27.9
26.8,25.5,25.9,26.5,28,27.5,28.7,27.6
26.8,25.5,25.9,26.4,28,27.5,28.7,27.6
26.8,25.5,25.9,26.4,28,27.5,28.7,27.7
26.9,25.6,26,26.4,28.2,27.6,28.8,27.8
26.7,25.4,25.8,26.1,28.1,27.4,28.6,27.6
26.7,25.4,25.9,26.2,28.1,27.4,28.6,27.6
26.5,25.3,25.7,26.2,27.8,27.3,28.5,27.4
26.9,25.6,26.1,26.6,28.1,27.6,28.9,27.8
26.8,25.5,25.9,26.4,28,27.5,28.7,27.7
26.8,25.5,25.9,26.4,28,27.5,28.7,27.7
26.8,25.5,26,26.5,28,27.5,28.8,27.7
26.7,25.4,25.9,26.4,27.9,27.4,28.6,27.6
26.8,25.5,25.9,26.4,28,27.5,28.7,27.7
26.8,25.6,26,26.4,28.1,27.6,28.8,27.7
26.7,25.4,25.8,26.3,27.9,27.4,28.6,27.6
26.8,25.5,25.9,26.3,28.2,27.5,28.7,27.7
26.8,25.6,26,26.3,28.3,27.6,28.8,27.7
26.7,25.4,25.9,26.2,28.1,27.4,28.7,27.6
26.7,25.5,25.9,26.4,27.9,27.5,28.7,27.6
27,25.8,26.2,26.7,28.2,27.8,29,27.9
26.8,25.5,25.9,26.4,28,27.5,28.7,27.7
27,25.7,26.1,26.6,28.2,27.7,28.9,27.9
26.9,25.6,26.1,26.6,28.1,27.6,28.9,27.8
26.9,25.6,26,26.6,28,27.6,28.8,27.8
26.7,25.4,25.9,26.4,27.9,27.4,28.7,27.6
26.8,25.5,25.9,26.4,28.1,27.5,28.7,27.7
26.7,25.4,25.9,26.3,28,27.4,28.7,27.6
26.8,25.6,26,26.4,28.2,27.6,28.8,27.7
26.8,25.5,25.9,26.2,28.2,27.5,28.7,27.7
26.6,25.4,25.7,26.1,28,27.4,28.6,27.5
26.6,25.3,25.8,26.3,27.8,27.3,28.5,27.5
26.6,25.4,25.8,26.3,27.8,27.4,28.6,27.5
26.5,25.3,25.7,26.2,27.8,27.3,28.5,27.4
26.7,25.4,25.8,26.3,27.9,27.4,28.6,27.6
26.5,25.2,25.6,26.2,27.6,27.2,28.4,27.4
26.6,25.3,25.8,26.4,27.7,27.3,28.5,27.5
26.6,25.3,25.7,26.2,27.8,27.3,28.5,27.5
26.5,25.2,25.7,26.1,27.8,27.2,28.4,27.4
26.3,25,25.4,25.9,27.6,27,28.2,27.2
26.8,25.6,26,26.4,28.2,27.6,28.8,27.7
26.6,25.4,25.8,26,28.1,27.4,28.6,27.5
26.6,25.4,25.8,26.2,28,27.4,28.6,27.5
26.5,25.2,25.6,26.1,27.7,27.2,28.4,27.4
26.6,25.4,25.8,26.3,27.8,27.4,28.6,27.5
26.7,25.5,25.9,26.3,28,27.5,28.7,27.6
26.8,25.6,26,26.4,28.1,27.6,28.8,27.7
26.9,25.7,26.1,26.6,28.1,27.7,28.9,27.8
26.7,25.5,25.9,26.5,27.9,27.4,28.7,27.6
26.8,25.5,26,26.4,28,27.5,28.7,27.7
26.8,25.5,26,26.5,28.1,27.5,28.8,27.7
26.7,25.4,25.8,26.2,27.9,27.4,28.6,27.5
26.6,25.4,25.8,26.2,28,27.4,28.6,27.5
26.8,25.5,25.9,26.2,28.2,27.5,28.7,27.7
26.8,25.6,26,26.4,28.2,27.6,28.8,27.8
26.7,25.4,25.9,26.4,28,27.4,28.7,27.6
26.8,25.6,26,26.5,28,27.6,28.8,27.7
26.6,25.4,25.8,26.2,27.9,27.4,28.6,27.6
26.8,25.5,25.9,26.4,28.1,27.5,28.7,27.7
26.7,25.5,25.9,26.5,27.9,27.5,28.7,27.6
26.8,25.5,25.9,26.5,27.9,27.5,28.7,27.7
26.8,25.4,25.9,26.4,28,27.4,28.7,27.6
26.6,25.4,25.8,26.3,27.9,27.4,28.6,27.5
26.5,25.2,25.6,26.1,27.8,27.2,28.4,27.4
26.6,25.3,25.7,26.1,27.9,27.3,28.5,27.5
26.5,25.3,25.7,26,28,27.3,28.5,27.4
26.4,25.1,25.6,25.9,27.8,27.1,28.3,27.3
26.7,25.5,25.9,26.4,27.9,27.5,28.7,27.6
26.6,25.3,25.7,26.3,27.8,27.3,28.5,27.5
26.6,25.4,25.8,26.2,27.9,27.3,28.6,27.5
26.7,25.4,25.8,26.3,28,27.4,28.6,27.6
27.1,25.8,26.2,26.8,28.2,27.8,29,28
27,25.7,26.1,26.7,28.1,27.7,28.9,27.9
26.9,25.6,26,26.6,28.1,27.6,28.8,27.8
26.5,25.3,25.7,26.1,27.8,27.3,28.5,27.4
26.7,25.5,25.9,26.3,28,27.5,28.7,27.6
26.8,25.6,26,26.4,28.2,27.6,28.8,27.7
27,25.7,26.1,26.4,28.4,27.7,28.9,27.9
27,25.7,26.1,26.5,28.3,27.7,28.9,27.9
27.2,25.9,26.3,26.8,28.4,27.9,29.1,28.1
27,25.7,26.1,26.7,28.2,27.7,28.9,27.9
27,25.7,26.1,26.6,28.2,27.7,28.9,27.9
27.3,26,26.4,26.9,28.6,28,29.2,28.2
27.3,26,26.4,27,28.5,28,29.2,28.2
27.2,25.9,26.3,26.9,28.3,27.9,29.1,28.1
27.1,25.9,26.3,26.8,28.3,27.9,29.1,28
26.8,25.6,26,26.5,28.1,27.6,28.8,27.7
26.7,25.4,25.9,26.3,28,27.4,28.6,27.6
26.9,25.6,26,26.4,28.2,27.6,28.8,27.8
26.8,25.5,25.9,26.2,28.2,27.5,28.7,27.7
26.8,25.6,26,26.4,28.2,27.6,28.8,27.7
26.8,25.6,26,26.5,28.1,27.6,28.8,27.8
26.8,25.5,25.9,26.5,28,27.5,28.7,27.7
26.7,25.5,25.9,26.4,28,27.5,28.7,27.7
26.8,25.6,26,26.4,28.1,27.6,28.8,27.7
26.8,25.6,26,26.5,28,27.5,28.8,27.7
26.9,25.7,26.1,26.7,28,27.6,28.9,27.8
26.8,25.6,26,26.5,28.1,27.6,28.8,27.7
26.7,25.4,25.8,26.3,27.9,27.4,28.6,27.6
26.7,25.5,25.8,26.3,28,27.5,28.7,27.6
26.8,25.5,25.9,26.3,28.1,27.5,28.7,27.7
26.9,25.7,26.1,26.4,28.4,27.7,28.9,27.8
26.8,25.6,26,26.4,28.2,27.6,28.8,27.8
26.8,25.6,25.9,26.5,28,27.6,28.7,27.7
26.9,25.6,26,26.6,28.1,27.6,28.8,27.8
26.8,25.5,25.9,26.4,28,27.5,28.7,27.7
26.8,25.6,25.9,26.4,28,27.6,28.7,27.7
27,25.8,26.1,26.7,28.1,27.7,28.9,27.9
27,25.8,26.2,26.8,28.2,27.8,29,27.9
26.9,25.6,26,26.5,28.1,27.6,28.8,27.7
26.7,25.5,25.8,26.3,28,27.5,28.7,27.6
